Vd_V,uy_mass_m,uy_bar_m,C_F,x_P1_analytical_m(downward=neg)
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,-0.000000000000000000e+00
1.000000000000000000e+01,-1.605738661613842720e-10,-1.602577169568175448e-10,1.511443268687698493e-15,-8.789082686996078303e-11
2.000000000000000000e+01,-6.428164078144151058e-10,-6.415507282245488053e-10,1.511517456088421585e-15,-3.515633074798431321e-10
3.000000000000000000e+01,-1.448296748989882451e-09,-1.445444895763193347e-09,1.511641382717541010e-15,-7.910174418296469955e-10
4.000000000000000000e+01,-2.579674559471150855e-09,-2.574594353634187043e-09,1.511816296786344022e-15,-1.406253229919372528e-09
5.000000000000000000e+01,-4.040698584943422210e-09,-4.032740043598107086e-09,1.512042192580348256e-15,-2.197270671749019731e-09
6.000000000000000000e+01,-5.836310887403110427e-09,-5.824813722528724113e-09,1.512320449333562623e-15,-3.164069767318587982e-09
7.000000000000000000e+01,-7.972703236489756854e-09,-7.956994228731553962e-09,1.512652420492053562e-15,-4.306650516628077696e-09
8.000000000000000000e+01,-1.045742528956304086e-08,-1.043681541885532743e-08,1.513039760093973127e-15,-5.625012919677490114e-09
9.000000000000000000e+01,-1.329951580264768221e-08,-1.327329708087284582e-08,1.513484453858327049e-15,-7.119156976466823580e-09
1.000000000000000000e+02,-1.650966725183910796e-08,-1.647710917654461972e-08,1.513988858263378709e-15,-8.789082686996078923e-09
1.100000000000000000e+02,-2.010043134115554238e-08,-2.006077686787989865e-08,1.514555749399503970e-15,-1.063479005126525449e-08
1.200000000000000000e+02,-2.408649008598181695e-08,-2.403895046314196696e-08,1.515189488565672560e-15,-1.265627906927435193e-08
1.300000000000000000e+02,-2.848493232645442371e-08,-2.842868273889526235e-08,1.515892309410590391e-15,-1.485354974102337290e-08
1.400000000000000000e+02,-3.331571570796400465e-08,-3.324988780505323040e-08,1.516669445154623790e-15,-1.722660206651231078e-08
1.500000000000000000e+02,-3.860216437037798394e-08,-3.852583727128736956e-08,1.517526270057354438e-15,-1.977543604574117551e-08
