Vd_V,uy_mass_m
0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,-4.013533678743858333e-11
1.000000000000000000e+01,-1.605738690132029126e-10
1.500000000000000000e+01,-3.614132602367416153e-10
2.000000000000000000e+01,-6.428166397693675522e-10
2.500000000000000000e+01,-1.005013173553392222e-09
3.000000000000000000e+01,-1.448298887831813690e-09
3.500000000000000000e+01,-1.973037751905188183e-09
4.000000000000000000e+01,-2.579663029604236901e-09
4.500000000000000000e+01,-3.268678910952426336e-09
5.000000000000000000e+01,-4.040662441086155658e-09
5.500000000000000000e+01,-4.896265756002732223e-09
6.000000000000000000e+01,-5.836310941057299913e-09
6.500000000000000000e+01,-6.861471011682826616e-09
7.000000000000000000e+01,-7.972703394413868410e-09
7.500000000000000000e+01,-9.170995036533363086e-09
8.000000000000000000e+01,-1.045742569996276593e-08
8.500000000000000000e+01,-1.183317279372697786e-08
9.000000000000000000e+01,-1.329951677677852869e-08
9.500000000000000000e+01,-1.485784719331041406e-08
1.000000000000000000e+02,-1.650966941179560292e-08
1.050000000000000000e+02,-1.825661215099841088e-08
1.100000000000000000e+02,-2.010043588948032690e-08
1.150000000000000000e+02,-2.204304227066468759e-08
1.200000000000000000e+02,-2.408648463596050621e-08
1.250000000000000000e+02,-2.623297983996402781e-08
1.300000000000000000e+02,-2.848492153096523136e-08
1.350000000000000000e+02,-3.084489511356138848e-08
1.400000000000000000e+02,-3.331572201132182890e-08
1.450000000000000000e+02,-3.590038071348121537e-08
1.500000000000000000e+02,-3.860216357942794839e-08
1.550000000000000000e+02,-4.142462014088198733e-08
1.600000000000000000e+02,-4.437160064775682627e-08
1.650000000000000000e+02,-4.744729648613801284e-08
1.700000000000000000e+02,-5.065627569046204900e-08
1.750000000000000000e+02,-5.400353114857262737e-08
1.800000000000000000e+02,-5.749455441214770637e-08
1.850000000000000000e+02,-6.113535760528700033e-08
1.900000000000000000e+02,-6.493263915667915567e-08
1.950000000000000000e+02,-6.889393070839725711e-08
2.000000000000000000e+02,-7.302772886635350723e-08
2.050000000000000000e+02,-7.734417927729978850e-08
2.100000000000000000e+02,-8.185645054070834545e-08
2.150000000000000000e+02,-8.658700770844569654e-08
2.200000000000000000e+02,-9.162760490733811751e-08
2.222500000000000000e+02,-9.418875381648721986e-08
