Vd_V,f1_Hz,f2_Hz,f3_Hz,f4_Hz,f5_Hz
0.000000000000000000e+00,5.222005827852115617e+05,2.636657562950388994e+06,2.788366690258518327e+06,5.521547679501154460e+06,7.619246715198462829e+06
1.000000000000000000e+02,5.208321566254381905e+05,2.630626908671918791e+06,2.787694281835435890e+06,5.520502610569045879e+06,7.618094411572357640e+06
2.000000000000000000e+02,5.191889506753764581e+05,2.611112165134717710e+06,2.785692590552301612e+06,5.517206112411408685e+06,7.614648941369206645e+06
3.000000000000000000e+02,5.258363587481034920e+05,2.573880389194861520e+06,2.782476999464848544e+06,5.511249945660049096e+06,7.608992086764566600e+06
4.000000000000000000e+02,5.574193285554401809e+05,2.512718935997569468e+06,2.778464151920222677e+06,5.502367973541898653e+06,7.601175518776797689e+06
5.000000000000000000e+02,6.198376914366075071e+05,2.415632345423599239e+06,2.774469957928895019e+06,5.489603445524313487e+06,7.589984548793676309e+06
6.000000000000000000e+02,6.720486513460670831e+05,2.241846801267792471e+06,2.770995409671125002e+06,5.466451739228336141e+06,7.571099778261886910e+06
6.270000000000000000e+02,6.752273524635019712e+05,2.170539223749761470e+06,2.770099916287427768e+06,5.456688209441768005e+06,7.563830577654600143e+06
7.000000000000000000e+02,6.283943691579496954e+05,1.891187302891340805e+06,2.767382881293399259e+06,5.419351230671945959e+06,7.538113859411869198e+06
7.600000000000000000e+02,5.845149344764049165e+05,1.519450667928212788e+06,2.764507587445557583e+06,5.378372024161010981e+06,7.510764663537048735e+06
